step,train_loss,val_loss,learning_rate,temperature,grad_norm,step_time_sec
175,4.8520,,1.750000e-04,0.0705,0.6273,1.8586
19,4.9905,,1.900000e-05,0.0700,6.7727,1.9383
67,4.8792,,6.700000e-05,0.0701,0.7438,1.9494
176,4.8426,,1.760000e-04,0.0705,0.5204,1.9960
20,5.0449,,2.000000e-05,0.0700,7.6415,1.7317
68,4.8454,,6.800000e-05,0.0702,0.6894,0.9108
177,4.8656,,1.770000e-04,0.0705,0.5948,1.2467
21,4.9444,,2.100000e-05,0.0700,6.7268,1.1932
69,4.8508,,6.900000e-05,0.0702,0.6970,1.5214
178,4.8649,,1.780000e-04,0.0705,0.6777,2.0086
22,4.9252,,2.200000e-05,0.0700,5.9227,2.3207
70,4.8631,,7.000000e-05,0.0702,0.6647,2.4654
23,4.9827,,2.300000e-05,0.0700,4.8877,2.2381
179,4.8446,,1.790000e-04,0.0705,0.4487,2.7103
71,4.8619,,7.100000e-05,0.0702,0.6619,2.6048
24,4.9721,,2.400000e-05,0.0700,5.7040,1.3555
180,4.8653,,1.800000e-04,0.0705,0.4260,1.5096
25,4.9200,,2.500000e-05,0.0700,3.7799,1.1719
72,4.8620,,7.200000e-05,0.0702,0.7093,1.2767
181,4.8630,,1.810000e-04,0.0705,0.4161,1.0510
26,4.9498,,2.600000e-05,0.0700,3.7781,1.7522
73,4.8562,,7.300000e-05,0.0702,0.6549,2.0529
182,4.8546,,1.820000e-04,0.0705,0.3429,2.1337
27,4.9183,,2.700000e-05,0.0700,3.1114,4.1859
74,4.8533,,7.400000e-05,0.0702,0.6604,4.0439
183,4.8468,,1.830000e-04,0.0705,0.3122,3.8296
75,4.8759,,7.500000e-05,0.0702,0.6826,2.5451
184,4.8512,,1.840000e-04,0.0705,0.4381,2.5401
28,4.9251,,2.800000e-05,0.0700,3.4541,2.7840
29,4.9324,,2.900000e-05,0.0700,3.3578,2.6543
76,4.8664,,7.600000e-05,0.0702,0.5963,2.9204
185,4.8485,,1.850000e-04,0.0705,0.3488,2.9642
30,4.9403,,3.000000e-05,0.0700,3.5745,1.5264
77,4.8648,,7.700000e-05,0.0702,0.8421,1.7497
186,4.8445,,1.860000e-04,0.0705,0.3423,1.8545
